ID	load	families_present
ERR668306	151	0.9805194805194806
ERR668307	151	0.9805194805194806
ERR668308	151	0.9805194805194806
ERR668309	151	0.9805194805194806
ERR668310	151	0.9805194805194806
ERR668311	151	0.9805194805194806
ERR668312	151	0.9805194805194806
ERR668313	151	0.9805194805194806
ERR668314	151	0.9805194805194806
ERR668315	150	0.974025974025974
ERR668316	152	0.987012987012987
ERR668317	151	0.9805194805194806
ERR668318	151	0.9805194805194806
ERR668319	152	0.987012987012987
ERR668320	150	0.974025974025974
ERR668321	152	0.987012987012987
ERR668322	151	0.9805194805194806
ERR668323	151	0.9805194805194806
ERR668324	152	0.987012987012987
ERR668325	150	0.974025974025974
ERR668326	152	0.987012987012987
ERR668327	151	0.9805194805194806
ERR694694	153	0.9935064935064936
ERR694695	153	0.9935064935064936
ERR694697	153	0.9935064935064936
ERR9436064	153	0.9935064935064936
ERR9439680	154	1
ERR9452532	153	0.9935064935064936
ERR9452541	153	0.9935064935064936
ERR9452754	154	1
ERR9453536	154	1
ERR9468779	149	0.9675324675324676
ERR9469322	150	0.974025974025974
SRR11456750	153	0.9935064935064936
SRR11456751	153	0.9935064935064936
SRR11456752	152	0.987012987012987
SRR11456753	152	0.987012987012987
SRR11456760	153	0.9935064935064936
SRR11456771	153	0.9935064935064936
SRR11456778	153	0.9935064935064936
SRR11456787	152	0.987012987012987
SRR11456788	153	0.9935064935064936
SRR11456789	153	0.9935064935064936
SRR11456790	152	0.987012987012987
SRR11456791	152	0.987012987012987
SRR11456792	153	0.9935064935064936
SRR11456793	152	0.987012987012987
SRR11456794	152	0.987012987012987
SRR11456796	153	0.9935064935064936
SRR11456797	152	0.987012987012987
SRR11456799	152	0.987012987012987
SRR11456800	152	0.987012987012987
SRR11456801	152	0.987012987012987
SRR11456802	153	0.9935064935064936
SRR11456803	152	0.987012987012987
SRR12340887	149	0.9675324675324676
SRR2132976	151	0.9805194805194806
SRR22548176	151	0.9805194805194806
SRR22548177	151	0.9805194805194806
SRR22548178	152	0.987012987012987
SRR22548179	151	0.9805194805194806
SRR22548180	151	0.9805194805194806
SRR22548181	151	0.9805194805194806
SRR22548182	151	0.9805194805194806
SRR22548183	151	0.9805194805194806
SRR22548184	151	0.9805194805194806
SRR22548185	151	0.9805194805194806
SRR22548186	151	0.9805194805194806
SRR22548187	151	0.9805194805194806
SRR22548188	151	0.9805194805194806
SRR22548189	151	0.9805194805194806
SRR22548190	151	0.9805194805194806
SRR22548191	151	0.9805194805194806
SRR22548192	151	0.9805194805194806
SRR22548193	151	0.9805194805194806
SRR22548194	151	0.9805194805194806
SRR22548195	152	0.987012987012987
SRR22548196	151	0.9805194805194806
SRR22548197	151	0.9805194805194806
SRR22548198	151	0.9805194805194806
SRR3084252	135	0.8766233766233766
SRR3091579	153	0.9935064935064936
SRR3091605	153	0.9935064935064936
SRR3091655	143	0.9285714285714286
SRR3585391	152	0.987012987012987
SRR3585440	153	0.9935064935064936
SRR3585779	153	0.9935064935064936
SRR5491305	151	0.9805194805194806
SRR6425999	151	0.9805194805194806
